Canonical_SMILES,AMES,BBB,Bioavailability,Caco2,Clearance_H.,Clearance_M.,CYP2C9_Sub.,CYP2C9_In.,CYP2D6_Sub.,CYP2D6_In.,CYP3A4_Sub.,CYP3A4_In.,DILI,Half_Life,hERG,HIA_Hou,LD50_Zhu,Lipophilicity,Pgp,PPBR,Solubility,VDss
CC(O)(P(=O)(O)O)P(=O)(O)O.[99Tc],0.237264627,0.903168695,0.7718021,-5.270379565,23.2421701,24.72465195,0.195632574,0.108763871,0.178806528,0.06231156,0.479418781,0.081308953,0.279217812,16.86389864,0.197223097,0.901821743,2.710467745,2.400686043,0.084297137,87.03704568,-0.470897715,1.278729557
Cc1cc(C)c(NC(=O)CN(CC(=O)O)CC(=O)O)c(C)c1Br.[Tc],0.240969566,0.798031281,0.871848759,-5.253847956,29.4549765,26.79736193,0.200684524,0.181121665,0.187014264,0.110930702,0.548033606,0.108913989,0.598596509,17.73504811,0.338573553,0.966714895,2.462177074,1.323753988,0.150729978,88.04553703,-2.301143488,0.848116842
O.O.O=P([O-])([O-])CP(=O)([O-])[O-].[98Tc+4],0.170355313,0.93695413,0.811406524,-4.951434632,18.55380976,30.89896045,0.184594203,0.094384599,0.153148713,0.068444099,0.403390678,0.083015013,0.37858661,16.01387579,0.197828635,0.940092259,2.367596773,1.75844476,0.081964499,77.04480128,-1.356133079,1.333516693
O=P(O)(O)C(O)P(=O)(O)O.[99Tc],0.217141014,0.918883951,0.769564034,-5.28817757,18.65147885,20.49905633,0.191710895,0.107575312,0.216135411,0.067017852,0.419392078,0.082665604,0.250273435,15.31817271,0.195079067,0.904773929,2.590688964,2.254222001,0.090812413,84.81933935,-0.569045206,1.264461453
O.O.O.O.[98Tc-],0.157422183,0.923716384,0.841007552,-5.007372826,20.91287495,34.21121635,0.192101164,0.08576915,0.160399562,0.0699528,0.419615072,0.088534727,0.151543815,16.85784042,0.205805313,0.955952064,2.104600274,1.842809955,0.079203397,79.36881823,-1.049216005,2.777074138
O=P([O-])([O-])OP(=O)([O-])[O-].[99Tc+4],0.157039272,0.940973452,0.83897068,-4.84364317,19.18248082,31.13439521,0.190946295,0.103278519,0.17192607,0.06488537,0.434048908,0.08731912,0.460303646,19.64504576,0.199692469,0.947254852,2.671669855,1.941808388,0.076760838,81.75882792,-1.487291003,1.368681995
[C-]#[N+]CC(C)(C)OC.[C-]#[N+]CC(C)(C)OC.[C-]#[N+]CC(C)(C)OC.[C-]#[N+]CC(C)(C)OC.[C-]#[N+]CC(C)(C)OC.[C-]#[N+]CC(C)(C)OC.[Tc+],0.25036364,0.87132985,0.819172904,-4.890835918,21.44552822,48.73001303,0.177220095,0.107356316,0.180488247,0.16222137,0.563745223,0.169571964,0.302664405,190.1128578,0.329385999,0.891848249,2.494226376,2.810934688,0.328728035,79.9244272,-5.61993706,3.670732769
O=C(O)[C@@H](S)[C@@H](S)C(=O)O.[99Tc],0.403178866,0.856654737,0.805492221,-5.241463837,17.71180286,7.616845936,0.245964924,0.099965739,0.178516287,0.069299477,0.41664264,0.085717611,0.516066784,10.88822652,0.183450442,0.964819585,2.218966659,1.374317997,0.073777763,90.51119435,-1.266081492,0.556333489
S1SSSSSSS1.[99Tc],0.213274417,0.934722523,0.811350662,-4.819777106,22.57833207,35.32066631,0.23537025,0.191478188,0.228188678,0.081672375,0.430341253,0.116021113,0.514491338,18.25047827,0.203189971,0.952027252,2.413365219,3.051293424,0.11647409,89.0514644,-4.978387333,5.490825067
CCOCCP(CCOCC)CCP(CCOCC)CCOCC.CCOCCP(CCOCC)CCP(CCOCC)CCOCC.O.O.[98Tc],0.127582207,0.88605434,0.769706523,-5.133267966,18.97053571,39.97221931,0.204748751,0.132041264,0.200983506,0.106493992,0.569578748,0.150391756,0.506445244,9.678337751,0.57772208,0.692412328,2.466469309,2.923962633,0.313167345,85.7693319,-4.896718309,6.614896636
O=C(NN1C(=O)[C@@H]2[C@@H]3C=C[C@@H]([C@H]4C[C@@H]34)[C@@H]2C1=O)c1ccc(C(F)(F)F)cc1,0.51224454,0.910672806,0.803476423,-4.891518037,22.00156566,31.68522828,0.180178359,0.309141242,0.210749173,0.083618683,0.682107268,0.500929116,0.650784878,14.25910777,0.297749225,0.968842575,2.503110097,3.14136243,0.546189257,94.26427777,-3.317673601,3.386149217
