Canonical_SMILES,QED,ADMET_risk_favorability,expected_favorability,residual
O=C(O)CCNC(=O)c1ccc(/N=N/c2ccc(O)c(C(=O)O)c2)cc1,0.56,49.418,49.34,0.078
CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,0.717,23.882,48.716,-24.834
O=S(=O)([O-])[O-].[Ba+2],0.283,75.827,50.439,25.388
CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1,0.327,13.756,50.265,-36.509
CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](O)[C@H](F)[C@@H]2F,0.879,42.004,48.071,-6.068
CCCCC(CC)COc1ccc(-c2nc(-c3ccc(OC)cc3)nc(-c3ccc(OCC(CC)CCCC)cc3O)n2)c(O)c1,0.112,29.488,51.118,-21.63
CC(C)(CCCCCC(O)CCCCCC(C)(C)C(=O)O)C(=O)O,0.404,78.248,49.959,28.289
COc1ccc2c3c1O[C@H]1C(OC(=O)c4ccccc4)=CC[C@H]4[C@@H](C2)N(C)CC[C@]314,0.731,32.215,48.657,-16.442
CCc1oc2ccccc2c1C(=O)c1cc(I)c(O)c(I)c1,0.386,29.917,50.029,-20.112
O=C(O)CCCN1CCC(OC(c2ccc(Cl)cc2)c2ccccn2)CC1,0.735,48.775,48.644,0.131
N#Cc1cccc([C@@H](NCC2CC2)c2ccc(F)c(NC(=O)c3cc(C(F)(F)F)nn3-c3cccc(CN)c3)c2)c1,0.227,10.064,50.663,-40.599
N[C@@H]1CCCCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1,0.836,24.203,48.243,-24.039
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)(O)O,0.456,60.049,49.754,10.295
C/N=C(\NC)NCc1ccccc1,0.522,56.924,49.491,7.433
O=C(O)CNC(=O)CNC(=O)CNC(=O)CSC(=O)c1ccccc1,0.438,64.522,49.823,14.699
COc1ccc(NC(=O)c2ccc(C(=N)N(C)C)cc2)c(C(=O)Nc2ccc(Cl)cn2)c1,0.385,18.903,50.033,-31.13
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,0.436,70.879,49.831,21.048
CCOC(=O)[C@H](CS)NCCN[C@@H](CS)C(=O)OCC,0.241,51.746,50.606,1.141
O=C(NCc1c(F)cc(F)cc1F)c1cn2c(c(O)c1=O)C(=O)N1[C@H]3CC[C@H](C3)O[C@@H]1C2,0.742,32.491,48.615,-16.124
N=C(N)NC(=N)N,0.186,76.501,50.825,25.677
CCOCCn1c(C2CCN(CCc3ccc(C(C)(C)C(=O)O)cc3)CC2)nc2ccccc21,0.435,23.529,49.835,-26.306
